127.0.0.1 - - [21/Jul/2025:19:17:00 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:17:03 +0530] "GET /OnlineElectronicStore/ HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:17:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:19:53 +0530] "GET /OnlineElectronicStore/AdminLogin.html HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:20:25 +0530] "POST /OnlineElectronicStore/alog HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:20:52 +0530] "GET /OnlineElectronicStore/AddProduct.html HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:21:35 +0530] "POST /OnlineElectronicStore/aps HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:21:44 +0530] "GET /OnlineElectronicStore/view1 HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:21:44 +0530] "GET /OnlineElectronicStore/view1 HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:22:01 +0530] "GET /OnlineElectronicStore/Logout HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:22:10 +0530] "POST /OnlineElectronicStore/alog HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:22:22 +0530] "POST /OnlineElectronicStore/alog HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:23:06 +0530] "POST /OnlineElectronicStore/aps HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:26:12 +0530] "GET /OnlineElectronicStore/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:26:13 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:26:23 +0530] "GET /OnlineElectronicStore/AdminLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:26:38 +0530] "POST /OnlineElectronicStore/alog HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:26:44 +0530] "GET /OnlineElectronicStore/AddProduct.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:27:14 +0530] "POST /OnlineElectronicStore/aps HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:27:56 +0530] "POST /OnlineElectronicStore/aps HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:28:49 +0530] "POST /OnlineElectronicStore/aps HTTP/1.1" 200 2491
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:28:51 +0530] "GET /OnlineElectronicStore/view1 HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:29:40 +0530] "GET /OnlineElectronicStore/edit?pcode=P101 HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:29:53 +0530] "POST /OnlineElectronicStore/update HTTP/1.1" 200 2090
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:29:57 +0530] "GET /OnlineElectronicStore/view1 HTTP/1.1" 200 4528
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:30:06 +0530] "GET /OnlineElectronicStore/Logout HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:30:08 +0530] "GET /OnlineElectronicStore/index.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:30:12 +0530] "GET /OnlineElectronicStore/CustomerLogin.html HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:30:29 +0530] "GET /OnlineElectronicStore/CustomerRegister.html HTTP/1.1" 200 4571
0:0:0:0:0:0:0:1 - - [21/Jul/2025:19:32:31 +0530] "POST /OnlineElectronicStore/creg HTTP/1.1" 200 4121
